Datenbestand;Aktenzeichen/Registernummer;Markendarstellung;Aktenzustand
DE;"O14647";ORVIS;Akte vernichtet 
DE;"1166669";AgfaJet;Akte vernichtet 
DE;"1167109";SIGPRO;Akte vernichtet 
DE;"1170572";MORPHEUS;Akte vernichtet 
DE;"1172684";FETOCHECK;Akte vernichtet 
DE;"1173119";Unipps;Marke eingetragen 
DE;"1175344";COTEC;Akte vernichtet 
DE;"1176092";CENy;Akte vernichtet 
DE;"1176363";CENTAURUS;Marke eingetragen 
DE;"1177689";WILSON LEARNING;Marke eingetragen 
DE;"1179663";SUNGARD;Marke eingetragen 
DE;"1180264";VECTODRIVE;Marke eingetragen 
DE;"1180679";CHIPEXPRESS;Akte vernichtet 
DE;"1181474";CLAMEDEX;Marke eingetragen 
DE;"1182400";Nexus;Marke eingetragen 
DE;"1182573";SYSCOTEC;Akte vernichtet 
DE;"1182574";TECDIS;Akte vernichtet 
DE;"1184364";UNICHEM;Akte vernichtet 
DE;"1184709";SCOTT;Akte vernichtet 
DE;"1185364";PC CIAO;Akte vernichtet 
DE;"1189962";LEVEL PLUS;Marke eingetragen 
DE;"1191099";ARGUS SUCHREGISTER;Akte vernichtet 
DE;"2000374";TROVIS;Marke eingetragen 
DE;"2002586";ACUTUS;Akte vernichtet 
DE;"2003573";THINX;Akte vernichtet 
DE;"2004373";TURBOSPC;Akte vernichtet 
DE;"2005262";DEFINITY;Marke eingetragen 
DE;"2010084";EXASAFE;Akte vernichtet 
DE;"2014129";TRINTECH;Akte vernichtet 
DE;"2028096";PLATECO;Akte vernichtet 
DE;"2060072";PowerPort;Akte vernichtet 
DE;"DD647392";SOEMTRON;Marke gelöscht 
DE;"DD651666";LAVA;Marke eingetragen 
DE;"DD652442";imcos;Marke eingetragen 
DE;"397004087";BDU;Marke eingetragen 
DE;"397007582";WÜRTH MODYF;Marke eingetragen 
DE;"397017677";DocBase;Akte vernichtet 
DE;"397021291";EMFP;Akte vernichtet 
DE;"397042698";Till Spiegel;Akte vernichtet 
DE;"397049390";DRUMS;Akte vernichtet 
DE;"397049978";INTELLISERV;Akte vernichtet 
DE;"397050275";OPTIMED;Akte vernichtet 
DE;"397065175";VIPA ET 200V;Akte vernichtet 
DE;"397071302";INNCONNECT;Akte vernichtet 
DE;"397082983";RightSwitch;Akte vernichtet 
DE;"397086601";AHA;Marke gelöscht 
DE;"397091087";Dailysoft;Akte vernichtet 
DE;"397091494";DOCUTILITY;Akte vernichtet 
DE;"397091877";AUCNET;Marke eingetragen 
DE;"397095686";planet-er.de;Akte vernichtet 
DE;"397102372";bitworld;Akte vernichtet 
DE;"397104693";perimed;Marke eingetragen 
DE;"397108494";CC-Center;Marke gelöscht 
DE;"397125003";dataplus;Marke eingetragen 
DE;"397140177";SID Superschnelle Intranet Datenbank;Akte vernichtet 
DE;"397156502";MULAN;Marke eingetragen 
DE;"397166389";ROSA ROTH;Marke eingetragen 
DE;"397169183";D-Trust;Marke eingetragen 
DE;"397178492";LabCar;Marke eingetragen 
DE;"397181272";VISULATOR;Marke gelöscht 
DE;"397214391";Postbank InterCash;Akte vernichtet 
DE;"397227272";Galilei;Akte vernichtet 
DE;"397232489";KÖTTER Personal Service;Marke eingetragen 
DE;"397276672";DRYVIEW;Marke eingetragen 
DE;"397308388";FlexPro;Marke eingetragen 
DE;"397321694";STATUS;Akte vernichtet 
DE;"397329873";APPLA;Marke gelöscht 
DE;"397331584";PPMS;Akte vernichtet 
DE;"397332564";LIFE LINE;Marke gelöscht 
DE;"397350805";DINO-Soft;Akte vernichtet 
DE;"397356692";Fu;Marke eingetragen 
DE;"397364482";FOCUSEUM;Marke gelöscht 
DE;"397390386";FORMULADWG;Akte vernichtet 
DE;"397407319";RAVLIN;Akte vernichtet 
DE;"397407467";DIGITAL ISLAND;Akte vernichtet 
DE;"397407777";BERG;Akte vernichtet 
DE;"397416091";GERA-SOFT;Akte vernichtet 
DE;"397417829";UTP;Akte vernichtet 
DE;"397417837";UPT;Akte vernichtet 
DE;"397417845";TUP;Akte vernichtet 
DE;"397426089";PYROPLEQ;Akte vernichtet 
DE;"397426127";Datatektur;Akte vernichtet 
DE;"397426399";AZIZA;Akte vernichtet 
DE;"397426453";MAGAN;Akte vernichtet 
DE;"397426461";DARUS;Akte vernichtet 
DE;"397436297";STARGATE Internet Design;Akte vernichtet 
DE;"397437579";cycos;Marke eingetragen 
DE;"397437668";PRIVED int LOTTO net;Akte vernichtet 
DE;"397437722";Jukeman;Akte vernichtet 
DE;"397446624";REMEMBRANE;Akte vernichtet 
DE;"397447175";AVENUE;Akte vernichtet 
DE;"397447183";SARATOGA AVENUE;Akte vernichtet 
DE;"397447485";ComUnity Visual Framework;Akte vernichtet 
DE;"397447620";RIKAMET;Akte vernichtet 
DE;"397447698";SCHUFA ASS;Akte vernichtet 
DE;"397456328";OR_MAT;Akte vernichtet 
DE;"397456336";DENTICO;Akte vernichtet 
DE;"397460295";AVAPLUS;Marke gelöscht 
DE;"397466757";Latinus;Akte vernichtet 
DE;"397467133";RESPICARE;Akte vernichtet 
DE;"397467257";GISolution;Akte vernichtet 
DE;"397467265";EDBSolution;Akte vernichtet 
DE;"397471084";Rolf Kauka's Komikosmos;Marke gelöscht 
DE;"397476477";messerknecht-meister;Akte vernichtet 
DE;"397476485";meister;Akte vernichtet 
DE;"397476647";EPSON Print Adventure;Akte vernichtet 
DE;"397476981";LOKid;Akte vernichtet 
DE;"397477015";LOKay;Akte vernichtet 
DE;"397496737";VOCALPOINT INTERACTIVE WEB RESPONSE;Akte vernichtet 
DE;"397497091";LASA EDV;Marke gelöscht 
DE;"397497679";SEN-TEC;Akte vernichtet 
DE;"397497881";HanseWeb;Akte vernichtet 
DE;"397499485";Brimmer;Akte vernichtet 
DE;"397506457";XPAY;Akte vernichtet 
DE;"397506562";FASHION PRIMES;Akte vernichtet 
DE;"397508182";Siemens C.A.R.E. Solutions;Marke eingetragen 
DE;"397522312";DOMEA;Marke eingetragen 
DE;"397522908";Documentality;Akte vernichtet 
DE;"397523467";HOTSTAFF;Akte vernichtet 
DE;"397526490";FD-KLINIKA;Marke gelöscht 
DE;"397528191";WinNagel;Akte vernichtet 
DE;"397538464";FDSP;Marke eingetragen 
DE;"397543492";TEAMRUNNER;Akte vernichtet 
DE;"397543719";ARTIXSCAN;Akte vernichtet 
DE;"397560486";XPC EDI;Akte vernichtet 
DE;"397560494";MOSAIC XPC EDI;Akte vernichtet 
DE;"397561717";Trio XLL;Akte vernichtet 
DE;"397562284";Telegenz 2000;Akte vernichtet 
DE;"397564104";mathé.de;Marke eingetragen 
DE;"397568789";TELON;Akte vernichtet 
DE;"397570783";TEB;Akte vernichtet 
DE;"397571070";Twister;Akte vernichtet 
DE;"397571356";ChannelWare;Akte vernichtet 
DE;"397571534";WinBDMS;Akte vernichtet 
DE;"397571933";I-Commerce;Akte vernichtet 
DE;"397572158";CG Infinity;Akte vernichtet 
DE;"397575491";infoplan;Marke eingetragen 
DE;"397580274";arcos BAUCONTROL;Akte vernichtet 
DE;"397580762";CYBERLIFE;Akte vernichtet 
DE;"397581157";IEDA;Marke gelöscht 
DE;"397582048";AZ CONNECT;Akte vernichtet 
DE;"397582870";Insolplan;Akte vernichtet 
DE;"397583141";CAD2CAD;Akte vernichtet 
DE;"397590210";CHEETAH;Akte vernichtet 
DE;"397590474";protokon;Akte vernichtet 
DE;"397591691";TOUCHFILE;Akte vernichtet 
DE;"397591748";Future Point;Akte vernichtet 
DE;"397592302";bds;Akte vernichtet 
DE;"397592884";DIE PHARMERIE;Akte vernichtet 
DE;"397593406";EiPRO;Akte vernichtet 
DE;"397593414";QProjekte;Akte vernichtet 
DE;"397593678";SUCCESS MAKER;Akte vernichtet 
DE;"397599293";Herzflimmern-Party;Akte vernichtet 
DE;"397600127";Klickpunkt;Akte vernichtet 
DE;"397602790";HANSACONTROL 1000;Akte vernichtet 
DE;"397602847";a.dvance Communications;Akte vernichtet 
DE;"397602898";HANSACONTROL 500;Akte vernichtet 
DE;"397602901";HANSACONTROL 3000;Akte vernichtet 
DE;"397612451";UniCab pronet;Akte vernichtet 
DE;"397612559";JEDI.O;Akte vernichtet 
DE;"397612613";SWEB;Akte vernichtet 
DE;"397613164";Regenwaldhaus;Akte vernichtet 
DE;"397613776";COMPUNITY;Akte vernichtet 
DE;"397613784";somm;Akte vernichtet 
DE;"397615086";AUTEB;Marke eingetragen 
DE;"397617631";PIPEDREAM;Marke eingetragen 
DE;"397622775";CHANNEL CHAIN;Akte vernichtet 
DE;"397622783";SELLING CHAIN;Akte vernichtet 
DE;"397622899";OptiCall;Akte vernichtet 
DE;"397625472";SprayMaster;Marke eingetragen 
DE;"397625502";DynaMight;Marke gelöscht 
DE;"3020120090508";Blue Insider;Marke eingetragen 
DE;"3020120090680";Moukay;Akte vernichtet 
DE;"3020120091423";enwani;Marke eingetragen 
DE;"3020120091636";IQ windowdrive;Marke eingetragen 
DE;"3020120092519";ADOMASS;Marke eingetragen 
DE;"3020120092683";Natürlich. Unser Stadtwerk;Marke nicht eingetragen 
DE;"3020120094279";syncle;Marke eingetragen 
DE;"3020120094872";MARIO KOCH;Akte vernichtet 
DE;"3020120094988";Imtech Active Building;Marke eingetragen 
DE;"3020120094996";Imtech smart-grid-ready;Marke eingetragen 
DE;"3020120540317";Malachit Software;Marke eingetragen 
